db,flux change,color,footprint,star count,depth,family
baseline_nexp2_v1.7.1_10yrs.db,0.4644475477113411,0.5211372969026565,0.6582620811626708,0.36140838928131097,0.999311044741087,baseline
baseline_retrofoot_v2.0_10yrs.db,0.5693818328317225,0.6212215556090829,0.9756733270383315,0.49902409368405215,0.8431298442539458,baseline
baseline_v2.0_10yrs.db,0.5682170409468946,0.612515197955168,0.7424406802281337,0.7792386544262793,0.7055408916753503,baseline
bluer_indx0_v2.0_10yrs.db,0.5484695660055393,0.6258589333538469,0.7966295093939352,0.7803491938008019,0.6847532442453551,bluer
bluer_indx1_v2.0_10yrs.db,0.6042267684986393,0.6494563427471086,0.8627445913957212,0.8623023046251415,0.6875228547327678,bluer
ddf_frac_ddf_per0.6_v2.0_10yrs.db,0.5519634692745677,0.62000287169604,0.8279028705013803,0.8749594272864238,0.713438892440437,ddf
ddf_frac_ddf_per1.6_v2.0_10yrs.db,0.5165086590280755,0.6036831364435069,0.6151259930666205,0.6961612092083431,0.657538217745187,ddf
long_gaps_nightsoff0_delayed-1_v2.0_10yrs.db,0.6482612066005077,0.525859470325059,0.654232354400511,0.7006248621338489,0.33881918181665915,long
long_gaps_nightsoff0_delayed1827_v2.0_10yrs.db,0.6983967108302989,0.5412249202050397,0.7002912689344167,0.7177369269937081,0.5527319890432902,long
long_gaps_nightsoff1_delayed-1_v2.0_10yrs.db,0.685408624018248,0.5811334324120676,0.6864346013079349,0.7247097729584543,0.5530685952938389,long
long_gaps_nightsoff1_delayed1827_v2.0_10yrs.db,0.6665978168543255,0.6013933103868554,0.7258031147995315,0.7495242472209644,0.6324658008361773,long
long_gaps_nightsoff2_delayed-1_v2.0_10yrs.db,0.6816671994805662,0.5789922152863842,0.6896515645258651,0.7932245637416078,0.6098431117848093,long
long_gaps_nightsoff2_delayed1827_v2.0_10yrs.db,0.6665981788901936,0.5972934637382992,0.7252474867622268,0.7864174860726224,0.6647958131167495,long
long_gaps_nightsoff3_delayed-1_v2.0_10yrs.db,0.6764366456198548,0.5997182583163914,0.7146697215725634,0.7934812806936375,0.6446103078729504,long
long_gaps_nightsoff3_delayed1827_v2.0_10yrs.db,0.6284016769033957,0.5976178399359301,0.728468096914804,0.773640025072713,0.6831846978364148,long
long_gaps_nightsoff4_delayed-1_v2.0_10yrs.db,0.6740417340897757,0.5897499061425254,0.7193241595723062,0.7549484465617357,0.643260420487073,long
long_gaps_nightsoff4_delayed1827_v2.0_10yrs.db,0.5707510033608273,0.5815622466116598,0.7310688721965464,0.8273106268035403,0.6810937420773084,long
long_gaps_nightsoff5_delayed-1_v2.0_10yrs.db,0.668015370111199,0.6057542871903087,0.7303668831809191,0.7856638501045509,0.6572012085622791,long
long_gaps_nightsoff5_delayed1827_v2.0_10yrs.db,0.6242092576160118,0.6097809668525147,0.734354487933853,0.7700750802200768,0.6814923783055672,long
long_gaps_nightsoff6_delayed-1_v2.0_10yrs.db,0.6621716630933449,0.6199741311851824,0.726272312676004,0.7625706579002149,0.6559685121986828,long
long_gaps_nightsoff6_delayed1827_v2.0_10yrs.db,0.5944797098172481,0.591741528943595,0.7364721432169057,0.7990299746230927,0.684601401336049,long
long_gaps_nightsoff7_delayed-1_v2.0_10yrs.db,0.6582023318874045,0.6082786314362622,0.735047305445846,0.7919117329281808,0.6595634244954326,long
long_gaps_nightsoff7_delayed1827_v2.0_10yrs.db,0.5989176111353542,0.5879629757587538,0.739836319335488,0.7650637724169365,0.6908853390932073,long
long_gaps_np_nightsoff0_delayed-1_v2.0_10yrs.db,0.8222395901038088,0.5082579319902373,0.5890495356117962,0.5798152224382138,0.27540160682516646,long
long_gaps_np_nightsoff0_delayed1827_v2.0_10yrs.db,0.8275400020422827,0.5887648916896214,0.6589520529043189,0.633225407103377,0.5222876190079336,long
long_gaps_np_nightsoff1_delayed-1_v2.0_10yrs.db,0.8076009299703992,0.544225730028602,0.6093992853723634,0.6540336304171463,0.5012113919033248,long
long_gaps_np_nightsoff1_delayed1827_v2.0_10yrs.db,0.7726883855617102,0.5750732610465781,0.6839585612497296,0.6974867948121737,0.61995323038319,long
long_gaps_np_nightsoff2_delayed-1_v2.0_10yrs.db,0.7961050791142825,0.5866436852019145,0.6400786964098247,0.6738612943709452,0.5855016074863144,long
long_gaps_np_nightsoff2_delayed1827_v2.0_10yrs.db,0.7557568518843317,0.6159213574285674,0.6907542118233198,0.6869177410466004,0.6452577359597492,long
